"地&nbsp;&nbsp;区","人口数（人）","占全省人口比重（%） ","年度","占总人口比重（男）","占总人口比重（女）","性别比","0-14岁占总人口比重","15-59岁占总人口比重","60岁及以上占总人口比重","其中：65岁及以上占总人口比重","大学（大专及以上）单位：人/10万人&nbsp;","高中（含中专）单位：人/10万人&nbsp;","初中单位：人/10万人&nbsp;","小学单位：人/10万人&nbsp;"
"全??省","101527453","100","2020年","50.66","49.34","102.67","18.78","60.32","20.9","15.13","14384","14334","35778","23693"
"济南市","9202432","9.06","2020年","50.13","49.87","100.5","16.44???","63.60???","19.96???","14.07???","25931","15810","28909","18621"
"青岛市","10071722","9.92","2020年","50.96","49.04","103.9","15.41???","64.31???","20.28???","14.20???","22551","17543","32148","18593"
"淄博市","4704138","4.63","2020年","50.22","49.78","100.87","14.89???","61.87???","23.24???","16.50???","18729","19054","32786","19704"
"枣庄市","3855601","3.8","2020年","51.32","48.68","105.41","22.48???","58.97???","18.55???","13.70???","10620","13729","35333","26967"
"东营市","2193518","2.16","2020年","50.4","49.6","101.62","17.35???","62.27???","20.39???","15.51???","21994","17079","29356","19513"
"烟台市","7102116","7","2020年","50.64","49.36","102.58","12.10???","62.22???","25.68???","18.12???","16572","17885","39995","18504"
"潍坊市","9386705","9.25","2020年","50.85","49.15","103.44","17.37???","60.87???","21.77???","15.81???","14451","14888","37633","22677"
"济宁市","8357897","8.23","2020年","50.83","49.17","103.39","20.67???","59.81???","19.51???","14.42???","11061","13368","38385","23305"
"泰安市","5472217","5.39","2020年","49.72","50.28","98.87","17.37???","60.57???","22.06???","15.62???","13107","13559","39022","22852"
"威海市","2906548","2.86","2020年","50.47","49.53","101.92","11.82???","60.88???","27.30???","19.26???","16779","18679","40356","17735"
"日照市","2968365","2.92","2020年","50.85","49.15","103.48","18.36???","59.21???","22.43???","16.03???","13538","12653","34108","26194"
"临沂市","11018365","10.85","2020年","51.14","48.86","104.66","23.46???","56.91???","19.63???","14.12???","8721","9990","35057","29981"
"德州市","5611194","5.53","2020年","50.28","49.72","101.13","19.46???","59.81???","20.73???","15.32???","9233","13542","41182","24865"
"聊城市","5952128","5.86","2020年","50.63","49.37","102.54","23.47???","57.57???","18.96???","13.97???","9350","14370","36000","27855"
"滨州市","3928568","3.87","2020年","50.66","49.34","102.68","18.11???","60.13???","21.76???","15.98???","11439","12048","36780","27247"
"菏泽市","8795939","8.66","2020年","50.78","49.22","103.19","25.10???","56.57???","18.32???","14.25???","7087","10185","36543","30840"
